"Year","UTLA18CD","UTLA18NM","Pop_Est_Total","Grants_Inside_AEF","Grants_Outside_AEF","Grants_LSSG_ABG","Grants_RSG","Income_Rates","Police_Grant","Central_Gov_Funding_Total","Central_Gov_Funding_Total_PerCap"
2015,"E09000004","Bexley",242387,145030.259718569,101891.709105646,55,35875.7073963906,64566.4309558286,53524.3592801603,400943.466456595,1.6541459173
2016,"E09000004","Bexley",245095,139830.140729303,99029.5967809011,5,26616.6286924041,63257.1624833987,53229.9964434193,381968.525129426,1.55845090731931
2017,"E09000004","Bexley",246124,129104.650377603,97018.8292440987,0,13751,103712.830238773,52489.7788177021,396077.088678177,1.6092582953234
2018,"E09000004","Bexley",247258,121769.327230184,90971.8632303532,0,0,124003.398884076,47419.8949360698,384164.484280684,1.55369890673177
2002,"E08000025","Birmingham",990384,199584.05622808,274576.445972696,NA,661452.42973586,335877.037485386,79242.5906277219,1550732.56004974,1.56578918889011
2003,"E08000025","Birmingham",996356,296012.346829215,284552.28301592,NA,787286.85296502,309915.826574563,89121.2749601621,1766888.58434488,1.77335067420167
2004,"E08000025","Birmingham",1002376,290853.799576868,431568.659931102,NA,878952.307600023,299738.376769088,91173.9908773813,1992287.13475446,1.98756468107224
2005,"E08000025","Birmingham",1014650,296217.093285904,419161.28822109,NA,909686.334587228,358438.066964462,94816.0911004903,2078318.87415917,2.0483111163053
2006,"E08000025","Birmingham",1020843,1006919.79680415,475069.338222974,NA,108013.971139302,559554.309113993,94028.5118208945,2243585.92710131,2.19777764759254
2007,"E08000025","Birmingham",1029021,1058392.37318558,485693.101241673,NA,100124.184295458,596613.110900014,96136.1929919395,2336958.96261467,2.27105079742267
2008,"E08000025","Birmingham",1038980,1029438.24138073,484435.014656073,92183,92045.2861748902,661204.510468999,99508.6648922643,2458814.71757296,2.36656597583491
2009,"E08000025","Birmingham",1050072,1096637.94647496,587052.745221271,73762,146075.062285365,632873.133016959,102303.547407704,2638704.43440626,2.51287953055243
2010,"E08000025","Birmingham",1061074,1131608.78053259,672363.815863785,141187,101682.062151863,700242.417632704,105022.904368758,2852106.9805497,2.68794351812381
2011,"E08000025","Birmingham",1074283,1158230.28752765,646570.680073569,0,190799.334457409,617268.67766421,107002.740523985,2719871.72024683,2.53180188111217
2012,"E08000025","Birmingham",1085198,1123085.27565755,687785.414224043,2409,14424.407057204,744125.242477697,99367.6545810889,2671196.99399758,2.46148352097735
2013,"E08000025","Birmingham",1092190,1067921.43157247,589321.072683304,361,487767.999078639,324678.82330818,185637.744939971,2655688.07158256,2.43152571583933
2014,"E08000025","Birmingham",1101521,1072806.8894982,594231.855047113,377,403015.188436044,338615.464047249,186844.219488925,2595890.61651753,2.35664196735018
2015,"E08000025","Birmingham",1112950,1038987.57643174,589649.256405914,296,292383.801061214,347911.359796648,177711.001644035,2446938.99533955,2.19860640220994
2016,"E08000025","Birmingham",1128077,1011188.55791531,600339.519296221,115,237509.955284543,338523.742224054,176891.749250231,2364568.52397036,2.09610560623997
2017,"E08000025","Birmingham",1137123,1017363.94527004,594353.302932072,138,9106.23702319019,561822.369571978,174297.191494297,2357081.04629158,2.07284616201728
2018,"E08000025","Birmingham",1141374,1052713.08677519,547363.923363889,163,8054.89387057863,582599.069440397,173799.735125279,2364693.70857534,2.07179566783135
2002,"E06000008","Blackburn with Darwen",139538,28238.3169351499,51672.3924226591,NA,80682.0250606306,45975.4824417848,9569.92754894808,216138.144409172,1.54895544159421
2003,"E06000008","Blackburn with Darwen",140429,43187.4984429153,52878.7902831751,NA,95658.4889673229,43655.5127648725,10349.8994430078,245730.189901294,1.74985359079174
2004,"E06000008","Blackburn with Darwen",141418,46143.9715165158,57144.0146608425,NA,106236.3156572,42223.8450751173,10611.8922305345,262360.03914021,1.85520965605658
2005,"E06000008","Blackburn with Darwen",142145,53282.2185515168,61324.8693030752,NA,107669.205025064,50509.6334650565,11017.132975174,283803.059319886,1.99657433831571
2006,"E06000008","Blackburn with Darwen",143110,149213.217636722,60500.6596121808,NA,11824.9491072855,61258.7203030741,9968.33240778073,292765.879067043,2.04574019332711
2007,"E06000008","Blackburn with Darwen",143942,165682.898684851,63798.6724533571,NA,10991.9313420973,65497.5881533139,10221.4036309746,316192.494264595,2.1966659784121
2008,"E06000008","Blackburn with Darwen",144902,147259.521349251,64158.3945347735,21769,10497.7413096284,75411.6749999139,10645.4679318483,329741.800125416,2.275619385001
2009,"E06000008","Blackburn with Darwen",146197,152045.522930438,73579.484039683,23058,16986.1330916584,73590.562190106,11034.2351677592,350293.937419644,2.39604053037781
2010,"E06000008","Blackburn with Darwen",146966,157410.309685459,84161.7795289639,24630,12006.7270976835,82684.1084857044,11374.5769046551,372267.501702466,2.53301785244523
2011,"E06000008","Blackburn with Darwen",147657,154449.982726965,73615.4669159889,3572,22450.5055057329,72630.2134469768,11553.4192089893,338271.587804653,2.29092821745432
2012,"E06000008","Blackburn with Darwen",147854,158252.606392991,77840.9303229936,584,1702.79073011566,87857.257023834,10663.8739268977,336901.458396832,2.27860902239257
2013,"E06000008","Blackburn with Darwen",147763,167223.616099894,63285.3288011935,161,60593.7647183847,41441.3464392763,19951.467660563,352656.523719311,2.38663619254692
